,dataset,scenario,model,f1,f1,accuracy,accuracy,precision,precision,recall,recall,detection_rate,detection_rate,mapping_accuracy,mapping_accuracy,unseen_window_count,train_time_sec,inference_time_sec,state_count,density
,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,mean,mean,mean,mean
43,BATADAL_CHRON,Unseen,Automata_W4_A4,0.0,0.0,0.31527093596059114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02127659574468085,0.0,94.0,0.0022739887237548826,0.15405445098876952,153.0,0.01114955786236063
44,BATADAL_CHRON,Unseen,Automata_W4_A5,0.0,0.0,0.11330049261083744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025974025974025976,0.0,154.0,0.002290201187133789,0.4756463527679443,259.0,0.005784052116098448
45,BATADAL_CHRON,Unseen,Automata_W4_A6,0.0,0.0,0.10837438423645321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011904761904761904,0.0,168.0,0.002447700500488281,0.8817706108093262,361.0,0.0037752933142010886
46,BATADAL_CHRON,Unseen,Automata_W5_A3,0.0,0.0,0.5660377358490566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03571428571428571,0.0,28.0,0.0020281791687011717,0.06997499465942383,127.0,0.012338024676049351
47,BATADAL_CHRON,Unseen,Automata_W5_A4,0.0,0.0,0.16981132075471697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008771929824561403,0.0,114.0,0.002435731887817383,0.6986997127532959,268.0,0.0048451770995767435
48,BATADAL_CHRON,Unseen,Automata_W5_A5,0.0,0.0,0.050314465408805034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014084507042253521,0.0,142.0,0.0023456096649169924,1.5621419429779053,355.0,0.0033802816901408453
49,BATADAL_CHRON,Unseen,Automata_W5_A6,0.0,0.0,0.012578616352201259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00641025641025641,0.0,156.0,0.0024724483489990236,2.501893329620361,428.0,0.002593021224561097
50,BATADAL_CHRON,Unseen,Automata_W6_A3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.0,0.002213001251220703,1.5573880672454834,225.0,0.005728395061728395
51,BATADAL_CHRON,Unseen,Automata_W6_A4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.0,0.0022865772247314454,2.8517011165618897,314.0,0.003620836545093107
52,BATADAL_CHRON,Unseen,Automata_W6_A5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.0,0.0023324012756347655,3.8157734870910645,375.0,0.0028017777777777776
53,BATADAL_CHRON,Unseen,Automata_W6_A6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.0,0.002347373962402344,3.8771241664886475,393.0,0.002602800924577045
54,BATADAL_CHRON,Unseen,CNN1D,0.0,0.0,0.9039615846338535,0.0,0.0,0.0,0.0,0.0,,,,,,8.499171495437622,0.019310712814331055,,
55,BATADAL_CHRON,Unseen,GRU,0.0,0.0,0.9039615846338535,0.0,0.0,0.0,0.0,0.0,,,,,,5.263700151443482,0.037148046493530276,,
56,BATADAL_CHRON,Unseen,LSTM,0.0,0.0,0.9039615846338535,0.0,0.0,0.0,0.0,0.0,,,,,,3.2680506229400637,0.033709478378295896,,
57,SKAB_Fold1,Gaussian_Noise,Automata_W3_A3,0.4215621767841139,0.018125542116007413,0.6228152101400933,0.006910321100775706,0.5397857975506163,0.012161250848280077,0.3459731543624161,0.019831334653815272,0.9833333333333332,0.03726779962499652,0.6117424242424242,0.28065472408387654,13.2,0.008972644805908203,0.003850078582763672,17.0,0.11764705882352941
58,SKAB_Fold1,Gaussian_Noise,Automata_W3_A4,0.4564142035295345,0.01724117025697775,0.6214809873248833,0.014551594566528218,0.5325345500731965,0.025158847449775118,0.3996644295302013,0.01708610686993418,0.9805770447136671,0.01836885279458696,0.6911158792707148,0.11322988480457061,74.2,0.009319114685058593,0.014619779586791993,26.0,0.07692307692307693
59,SKAB_Fold1,Gaussian_Noise,Automata_W3_A5,0.4848970846539443,0.01355412676614653,0.5264843228819213,0.01583880399902082,0.42736682502032464,0.014112303405745732,0.5604026845637584,0.013050628511832241,0.9939252109554644,0.006387509204207027,0.7338957506472378,0.08404738318233658,174.4,0.009929513931274414,0.0406836986541748,34.0,0.05709342560553633
60,SKAB_Fold1,Gaussian_Noise,Automata_W3_A6,0.4371447235672893,0.02516685701160053,0.6096064042695131,0.016458870115425753,0.5123334173661158,0.027377515579669658,0.38154362416107385,0.026224998603945563,0.865535534247486,0.024578457896037242,0.60495579798413,0.051492592356349606,277.6,0.010295295715332031,0.07658586502075196,42.0,0.0481859410430839
61,SKAB_Fold1,Gaussian_Noise,Automata_W4_A3,0.6319391030221667,0.006780631518153595,0.7791257805530776,0.004212566977026805,0.7631177268111597,0.017322747046872276,0.5395939086294416,0.013738445281953653,0.77,0.43531597719357834,0.77,0.43531597719357834,9.0,0.009519004821777343,0.006790447235107422,34.0,0.05622837370242215
62,SKAB_Fold1,Gaussian_Noise,Automata_W4_A4,0.5410691291975553,0.03311039749591368,0.6890276538804638,0.022431379261089405,0.5623855026475291,0.034289588167112285,0.5218274111675127,0.036674907346575525,0.9792737076989582,0.01269922081302763,0.526814925467765,0.10129382641772985,84.0,0.008619213104248047,0.049970245361328124,49.0,0.036234902124114954
63,SKAB_Fold1,Gaussian_Noise,Automata_W4_A5,0.6147301957693694,0.007516999598315701,0.6667261373773417,0.009132191894429806,0.5178225548254799,0.009107380072151087,0.7563451776649746,0.005675299435278664,0.9867637633328551,0.010241569639355864,0.3798292837755924,0.04413092974365887,266.0,0.008177518844604492,0.17950735092163086,63.0,0.027714789619551528
64,SKAB_Fold1,Gaussian_Noise,Automata_W4_A6,0.5652994902149617,0.03163311900931549,0.6927743086529884,0.0170147563639444,0.5617993711273644,0.022795176360279886,0.5695431472081218,0.044238221921787314,0.864550509052416,0.03859724188724399,0.6347667021406023,0.040497642214423195,252.0,0.007977676391601563,0.25631351470947267,81.0,0.02255753696082914
65,SKAB_Fold1,Gaussian_Noise,Automata_W5_A3,0.4964876325287305,0.02531442383899177,0.6519015659955257,0.013822353630050806,0.684454431877232,0.024457671363108315,0.3898477157360406,0.025982708410293886,0.9768253968253969,0.033136227519137564,0.6775590927940286,0.138456835441682,50.0,0.0076029300689697266,0.045466947555541995,64.0,0.025634765625
66,SKAB_Fold1,Gaussian_Noise,Automata_W5_A4,0.4842837555945622,0.0466843371656529,0.5966442953020135,0.0314056831269549,0.554260420980308,0.04530695645594547,0.4309644670050761,0.05224358971825622,0.9825575575575576,0.01794653753069016,0.37690576867711,0.07158237870362974,154.6,0.007692718505859375,0.22320733070373536,83.0,0.018144868631151112
67,SKAB_Fold1,Gaussian_Noise,Automata_W5_A5,0.6718897180905561,0.008178856837827623,0.6776286353467562,0.0073093106276083415,0.609420175527963,0.009818833595576464,0.749238578680203,0.024238246469671734,0.9310333687693442,0.018917316754152258,0.5582967539271874,0.009046710193873746,375.2,0.007688760757446289,0.8844250202178955,95.0,0.015290858725761771
68,SKAB_Fold1,Gaussian_Noise,Automata_W5_A6,0.5540960166302097,0.009677263192197434,0.6100671140939598,0.008318117423972328,0.5585494560938576,0.009645111491426413,0.549746192893401,0.010857487124978369,0.9267247408174581,0.029352598485947432,0.516102671475066,0.013731306041507088,268.0,0.00804448127746582,0.8042004585266114,143.0,0.011149689471367793
69,SKAB_Fold1,Gaussian_Noise,Automata_W6_A3,0.3872892079769992,0.02045470489126943,0.49311740890688255,0.011903415423049905,0.5416827728755137,0.019319128278772555,0.3015228426395939,0.019362671190619973,0.9775401069518717,0.031909611145854715,0.4809238052428043,0.07976266651116673,137.2,0.007284784317016601,0.38218226432800295,99.0,0.014182226303438425
70,SKAB_Fold1,Gaussian_Noise,Automata_W6_A4,0.4983944099599052,0.060903573632179964,0.5530364372469636,0.038672857456587516,0.6140458905885403,0.04014896781702856,0.42081218274111676,0.06886549677925893,0.9298064393062774,0.006559288137061194,0.537364219212435,0.04819103354639533,201.8,0.007892513275146484,0.7248898029327393,121.0,0.010655009903695103
71,SKAB_Fold1,Gaussian_Noise,Automata_W6_A5,0.7526228864048847,0.02638406759667243,0.7195681511470985,0.027974637582824625,0.7083301041982161,0.02075321683533108,0.8030456852791878,0.03592065545927264,0.9746951269619526,0.015468826921633917,0.6938067772622112,0.012275799120341808,401.4,0.007889127731323243,2.2036922931671143,128.0,0.0098876953125
72,SKAB_Fold1,Gaussian_Noise,Automata_W6_A6,0.64283916347711,0.023504750809554314,0.6253711201079623,0.01558105521983437,0.6514022149691503,0.011050697760986043,0.6355329949238578,0.042681874131122705,0.9795290023179188,0.017817453749089145,0.6500185364644485,0.028104161739927604,336.0,0.0076831340789794925,2.5565459728240967,198.0,0.006836037139067443
73,SKAB_Fold1,Gaussian_Noise,CNN1D,0.05576417728210792,0.07444995341016053,0.6582963620230701,0.005084166831529259,0.39925642984466514,0.3940118697413757,0.032512953367875644,0.04545783248922433,,,,,,6.800454473495483,0.10314822196960449,,
74,SKAB_Fold1,Gaussian_Noise,GRU,0.1517030227613445,0.06098671571175119,0.65150842945874,0.01278544671782568,0.5034589362739254,0.10552192839590517,0.09468911917098446,0.04742684208841241,,,,,,16.318044328689574,0.18246774673461913,,
75,SKAB_Fold1,Gaussian_Noise,LSTM,0.11755144855206967,0.09618354382236004,0.6527062999112688,0.01633080988246018,0.4335568446526731,0.2696435200978018,0.07474093264248705,0.06707293411427397,,,,,,13.042967224121094,0.16091880798339844,,
76,SKAB_Fold1,Original,Automata_W3_A3,0.1069182389937107,0.0,0.6210807204803203,0.0,0.85,0.0,0.057046979865771806,0.0,0.0,0.0,0.0,0.0,0.0,0.008831357955932618,0.0024099349975585938,17.0,0.11764705882352941
77,SKAB_Fold1,Original,Automata_W3_A4,0.06451612903225806,0.0,0.6130753835890593,0.0,0.8333333333333334,0.0,0.03355704697986577,0.0,1.0,0.0,1.0,0.0,3.0,0.009304571151733398,0.003137063980102539,26.0,0.07692307692307693
78,SKAB_Fold1,Original,Automata_W3_A5,0.27371273712737126,0.0,0.6424282855236825,0.0,0.7112676056338029,0.0,0.16946308724832215,0.0,0.0,0.0,0.0,0.0,0.0,0.01002507209777832,0.0027747154235839844,34.0,0.05709342560553633
79,SKAB_Fold1,Original,Automata_W3_A6,0.06907378335949764,0.0,0.6044029352901935,0.0,0.5365853658536586,0.0,0.03691275167785235,0.0,1.0,0.0,1.0,0.0,3.0,0.009895133972167968,0.00328974723815918,42.0,0.0481859410430839
80,SKAB_Fold1,Original,Automata_W4_A3,0.09069212410501193,0.0,0.6601248884924175,0.0,0.76,0.0,0.048223350253807105,0.0,0.0,0.0,0.0,0.0,0.0,0.00878734588623047,0.002377033233642578,34.0,0.05622837370242215
81,SKAB_Fold1,Original,Automata_W4_A4,0.11764705882352941,0.0,0.6654772524531668,0.0,0.8064516129032258,0.0,0.06345177664974619,0.0,1.0,0.0,1.0,0.0,5.0,0.008380603790283204,0.004600381851196289,49.0,0.036234902124114954
82,SKAB_Fold1,Original,Automata_W4_A5,0.2788844621513944,0.0,0.6770740410347904,0.0,0.6481481481481481,0.0,0.17766497461928935,0.0,0.0,0.0,0.0,0.0,22.0,0.008381319046020509,0.01714911460876465,63.0,0.027714789619551528
83,SKAB_Fold1,Original,Automata_W4_A6,0.06407322654462243,0.0,0.6351471900089206,0.0,0.32558139534883723,0.0,0.03553299492385787,0.0,0.8,0.0,0.8,0.0,5.0,0.009089040756225585,0.006205034255981445,81.0,0.02255753696082914
84,SKAB_Fold1,Original,Automata_W5_A3,0.07710843373493977,0.0,0.5715883668903803,0.0,0.7619047619047619,0.0,0.04060913705583756,0.0,0.0,0.0,0.0,0.0,0.0,0.008809995651245118,0.0024637222290039063,64.0,0.025634765625
85,SKAB_Fold1,Original,Automata_W5_A4,0.09569377990430622,0.0,0.5771812080536913,0.0,0.8333333333333334,0.0,0.050761421319796954,0.0,0.875,0.0,0.875,0.0,8.0,0.009669876098632813,0.03531627655029297,83.0,0.018144868631151112
