accuracy,precision,recall,f1,state_count,density,train_time_sec,inference_time_sec,unseen_window_count,detection_rate,mapping_accuracy,direction,train_dataset,test_dataset,model,window,alphabet,seed
0.010948905109489052,0.0,0.0,0.0,51,0.03806228373702422,0.03500032424926758,0.09299445152282715,250,0.0,0.008,SKAB_to_BATADAL,SKAB,BATADAL,Automata_W3_A6,3,6,2026
0.019704433497536946,0.0,0.0,0.0,36,0.05169753086419753,0.03421521186828613,0.1552278995513916,203,0.0,0.019704433497536946,SKAB_to_BATADAL,SKAB,BATADAL,Automata_W4_A3,4,3,2026
0.0,0.0,0.0,0.0,66,0.028236914600550965,0.03600049018859863,0.32704854011535645,203,0.0,0.0,SKAB_to_BATADAL,SKAB,BATADAL,Automata_W4_A4,4,4,2026
0.0049261083743842365,0.0,0.0,0.0,88,0.021177685950413222,0.0339970588684082,0.43804287910461426,203,0.0,0.0049261083743842365,SKAB_to_BATADAL,SKAB,BATADAL,Automata_W4_A5,4,5,2026
0.0,0.0,0.0,0.0,102,0.018166089965397925,0.03900289535522461,0.5118823051452637,203,0.0,0.0,SKAB_to_BATADAL,SKAB,BATADAL,Automata_W4_A6,4,6,2026
0.0,0.0,0.0,0.0,68,0.025086505190311418,0.035004377365112305,0.4988741874694824,159,0.0,0.0,SKAB_to_BATADAL,SKAB,BATADAL,Automata_W5_A3,5,3,2026
0.0,0.0,0.0,0.0,121,0.015299501400177584,0.03000020980834961,0.9204015731811523,159,0.0,0.0,SKAB_to_BATADAL,SKAB,BATADAL,Automata_W5_A4,5,4,2026
0.006289308176100629,0.0,0.0,0.0,162,0.01047858558146624,0.03898358345031738,1.231959581375122,159,0.0,0.006289308176100629,SKAB_to_BATADAL,SKAB,BATADAL,Automata_W5_A5,5,5,2026
0.0,0.0,0.0,0.0,195,0.008783694937541092,0.03300213813781738,1.4659762382507324,159,0.0,0.0,SKAB_to_BATADAL,SKAB,BATADAL,Automata_W5_A6,5,6,2026
0.0,0.0,0.0,0.0,106,0.014773940904236383,0.03200173377990723,1.1337347030639648,129,0.0,0.0,SKAB_to_BATADAL,SKAB,BATADAL,Automata_W6_A3,6,3,2026
0.0,0.0,0.0,0.0,206,0.007870675841266848,0.03000020980834961,2.10561203956604,129,0.0,0.0,SKAB_to_BATADAL,SKAB,BATADAL,Automata_W6_A4,6,4,2026
0.0,0.0,0.0,0.0,269,0.005707494368513426,0.03399991989135742,2.712118148803711,129,0.0,0.0,SKAB_to_BATADAL,SKAB,BATADAL,Automata_W6_A5,6,5,2026
0.0,0.0,0.0,0.0,300,0.005177777777777778,0.028985977172851562,3.0181362628936768,129,0.0,0.0,SKAB_to_BATADAL,SKAB,BATADAL,Automata_W6_A6,6,6,2026
0.6154154421586963,0.48345398138572904,0.3321492007104796,0.3937671088650242,27,0.0877914951989026,0.001001119613647461,0.009998321533203125,0,0.0,0.0,BATADAL_to_SKAB,BATADAL,SKAB,Automata_W3_A3,3,3,2026
0.6239647341704515,0.5,0.08454706927175844,0.14463688848374354,58,0.0469678953626635,0.002001047134399414,0.29399991035461426,456,1.0,0.5087719298245614,BATADAL_to_SKAB,BATADAL,SKAB,Automata_W3_A4,3,4,2026
0.3840502270905691,0.37752318603382434,0.983303730017762,0.5455799743766631,105,0.025034013605442176,0.00298309326171875,0.4550015926361084,381,1.0,0.4120734908136483,BATADAL_to_SKAB,BATADAL,SKAB,Automata_W3_A5,3,5,2026
0.6084691423991451,0.47282099343955014,0.358436944937833,0.4077591432612649,166,0.015132820438380027,0.002009868621826172,3.2156982421875,1873,1.0,0.4858515750133476,BATADAL_to_SKAB,BATADAL,SKAB,Automata_W3_A6,3,6,2026
0.3585174625801853,0.35789473684210527,0.9995017438963627,0.5270625328428796,71,0.02638365403689744,0.0020003318786621094,7.987640619277954,4640,1.0,0.4084051724137931,BATADAL_to_SKAB,BATADAL,SKAB,Automata_W4_A3,4,3,2026
0.35780470420527444,0.3576902512921048,1.0,0.5269099501181412,153,0.01114955786236063,0.0020635128021240234,21.552810668945312,5612,1.0,0.35780470420527444,BATADAL_to_SKAB,BATADAL,SKAB,Automata_W4_A4,4,4,2026
0.3576265146115467,0.3576265146115467,1.0,0.5268407927549548,259,0.005784052116098448,0.0019981861114501953,36.59750843048096,5612,1.0,0.3576265146115467,BATADAL_to_SKAB,BATADAL,SKAB,Automata_W4_A5,4,5,2026
0.35780470420527444,0.3576902512921048,1.0,0.5269099501181412,361,0.003775293314201088,0.0020341873168945312,50.71784782409668,5612,1.0,0.35780470420527444,BATADAL_to_SKAB,BATADAL,SKAB,Automata_W4_A6,4,6,2026
0.35934016941596075,0.35934016941596075,1.0,0.52869793374877,127,0.012338024676049351,0.001975536346435547,34.26488971710205,4486,1.0,0.35934016941596075,BATADAL_to_SKAB,BATADAL,SKAB,Automata_W5_A3,5,3,2026
0.35934016941596075,0.35934016941596075,1.0,0.52869793374877,268,0.0048451770995767435,0.0029306411743164062,71.88699150085449,4486,1.0,0.35934016941596075,BATADAL_to_SKAB,BATADAL,SKAB,Automata_W5_A4,5,4,2026
0.35934016941596075,0.35934016941596075,1.0,0.52869793374877,355,0.0033802816901408453,0.0019483566284179688,82.74880766868591,4486,1.0,0.35934016941596075,BATADAL_to_SKAB,BATADAL,SKAB,Automata_W5_A5,5,5,2026
