accuracy,precision,recall,f1,train_time_sec,inference_time_sec,dataset,scenario,model,seed,state_count,density,unseen_window_count,detection_rate,mapping_accuracy,window,alphabet
0.6269662921348315,0.5087719298245614,0.08708708708708708,0.14871794871794872,0.00906991958618164,0.05574202537536621,SKAB_Fold2,Unseen,Automata_W5_A6,2026,137.0,0.010975544781288295,26.0,1.0,0.5769230769230769,5.0,6.0
0.5948509485094851,0.8863636363636364,0.11711711711711711,0.20689655172413793,0.008415460586547852,0.024376869201660156,SKAB_Fold2,Unseen,Automata_W6_A3,2026,68.0,0.018598615916955018,14.0,1.0,1.0,6.0,3.0
0.6314363143631436,0.8961038961038961,0.2072072072072072,0.33658536585365856,0.008762121200561523,0.11151552200317383,SKAB_Fold2,Unseen,Automata_W6_A4,2026,134.0,0.010637112942748942,30.0,1.0,0.7333333333333333,6.0,4.0
0.6327913279132791,0.81,0.24324324324324326,0.3741339491916859,0.008614063262939453,0.3782081604003906,SKAB_Fold2,Unseen,Automata_W6_A5,2026,140.0,0.009693877551020408,73.0,1.0,0.8082191780821918,6.0,5.0
0.5745257452574526,0.620253164556962,0.14714714714714713,0.23786407766990292,0.008822441101074219,0.19756484031677246,SKAB_Fold2,Unseen,Automata_W6_A6,2026,186.0,0.007226268932824604,38.0,1.0,0.5526315789473685,6.0,6.0
0.6581291759465479,0.0,0.0,0.0,14.696483850479126,0.18160414695739746,SKAB_Fold2,Original,LSTM,7,,,,,,,
0.5913140311804009,0.3743718592964824,0.29120521172638436,0.3275925247343349,18.428640365600586,0.21557402610778809,SKAB_Fold2,Original,GRU,7,,,,,,,
0.6581291759465479,0.0,0.0,0.0,6.8959667682647705,0.11130642890930176,SKAB_Fold2,Original,CNN1D,7,,,,,,,
0.5445411922304085,0.0,0.0,0.0,0.010100364685058594,0.002806425094604492,SKAB_Fold2,Original,Automata_W3_A3,7,17.0,0.11764705882352941,0.0,0.0,0.0,3.0,3.0
0.5867381111855325,0.35294117647058826,0.05067567567567568,0.08862629246676514,0.010279417037963867,0.003340005874633789,SKAB_Fold2,Original,Automata_W3_A4,7,25.0,0.08,4.0,0.0,0.25,3.0,4.0
0.5840589417280643,0.29577464788732394,0.03547297297297297,0.06334841628959276,0.010142326354980469,0.002779245376586914,SKAB_Fold2,Original,Automata_W3_A5,7,31.0,0.061394380853277836,0.0,0.0,0.0,3.0,5.0
0.5833891493636972,0.25806451612903225,0.02702702702702703,0.04892966360856269,0.010300874710083008,0.0027327537536621094,SKAB_Fold2,Original,Automata_W3_A6,7,40.0,0.05125,0.0,0.0,0.0,3.0,6.0
0.6723366159355416,0.24615384615384617,0.04804804804804805,0.08040201005025126,0.009490966796875,0.0025780200958251953,SKAB_Fold2,Original,Automata_W4_A3,7,34.0,0.050173010380622836,0.0,0.0,0.0,4.0,3.0
0.6965085049239033,0.44,0.06606606606606606,0.11488250652741515,0.00935673713684082,0.0052034854888916016,SKAB_Fold2,Original,Automata_W4_A4,7,52.0,0.03550295857988166,5.0,0.0,0.0,4.0,4.0
0.6741271262309758,0.2459016393442623,0.04504504504504504,0.07614213197969544,0.009577512741088867,0.007175922393798828,SKAB_Fold2,Original,Automata_W4_A5,7,59.0,0.030163746049985635,6.0,0.0,0.16666666666666666,4.0,5.0
0.7009847806624888,0.49230769230769234,0.0960960960960961,0.16080402010050251,0.009751081466674805,0.011009931564331055,SKAB_Fold2,Original,Automata_W4_A6,7,81.0,0.022252705380277397,10.0,1.0,0.5,4.0,6.0
0.6235955056179775,0.48148148148148145,0.07807807807807808,0.1343669250645995,0.00893855094909668,0.012528181076049805,SKAB_Fold2,Original,Automata_W5_A3,7,48.0,0.029513888888888888,18.0,1.0,0.6666666666666666,5.0,3.0
0.6573033707865169,0.7692307692307693,0.12012012012012012,0.2077922077922078,0.009010553359985352,0.030711889266967773,SKAB_Fold2,Original,Automata_W5_A4,7,97.0,0.016686151557019874,18.0,1.0,0.6666666666666666,5.0,4.0
0.6943820224719102,0.7961165048543689,0.24624624624624625,0.3761467889908257,0.008894681930541992,0.09669780731201172,SKAB_Fold2,Original,Automata_W5_A5,7,103.0,0.015270053727966821,61.0,0.9130434782608695,0.7049180327868853,5.0,5.0
0.6269662921348315,0.5087719298245614,0.08708708708708708,0.14871794871794872,0.008885860443115234,0.05489468574523926,SKAB_Fold2,Original,Automata_W5_A6,7,137.0,0.010975544781288295,26.0,1.0,0.5769230769230769,5.0,6.0
0.5948509485094851,0.8863636363636364,0.11711711711711711,0.20689655172413793,0.008602142333984375,0.024719715118408203,SKAB_Fold2,Original,Automata_W6_A3,7,68.0,0.018598615916955018,14.0,1.0,1.0,6.0,3.0
0.6314363143631436,0.8961038961038961,0.2072072072072072,0.33658536585365856,0.008722305297851562,0.11139345169067383,SKAB_Fold2,Original,Automata_W6_A4,7,134.0,0.010637112942748942,30.0,1.0,0.7333333333333333,6.0,4.0
0.6327913279132791,0.81,0.24324324324324326,0.3741339491916859,0.008879423141479492,0.37709546089172363,SKAB_Fold2,Original,Automata_W6_A5,7,140.0,0.009693877551020408,73.0,1.0,0.8082191780821918,6.0,5.0
0.5745257452574526,0.620253164556962,0.14714714714714713,0.23786407766990292,0.008777141571044922,0.19803738594055176,SKAB_Fold2,Original,Automata_W6_A6,7,186.0,0.007226268932824604,38.0,1.0,0.5526315789473685,6.0,6.0
0.6320712694877506,0.43252595155709345,0.24429967426710097,0.3122398001665279,14.718983888626099,0.18074989318847656,SKAB_Fold2,Gaussian_Noise,LSTM,7,,,,,,,
0.6037861915367483,0.41562932226832644,0.39153094462540716,0.40322039584032204,18.457708597183228,0.2154858112335205,SKAB_Fold2,Gaussian_Noise,GRU,7,,,,,,,
0.6487750556792873,0.4574898785425101,0.1472312703583062,0.22276983735830458,8.869647741317749,0.1105196475982666,SKAB_Fold2,Gaussian_Noise,CNN1D,7,,,,,,,
0.36302746148693904,0.19831932773109243,0.19932432432432431,0.1988205560235889,0.009900808334350586,0.005471229553222656,SKAB_Fold2,Gaussian_Noise,Automata_W3_A3,7,17.0,0.11764705882352941,29.0,0.0,0.0,3.0,3.0
0.42263898191560617,0.2289156626506024,0.19256756756756757,0.20917431192660552,0.010413408279418945,0.0238187313079834,SKAB_Fold2,Gaussian_Noise,Automata_W3_A4,7,25.0,0.08,143.0,1.0,0.055944055944055944,3.0,4.0
0.39182853315472205,0.1827309236947791,0.15371621621621623,0.1669724770642202,0.010243415832519531,0.0623621940612793,SKAB_Fold2,Gaussian_Noise,Automata_W3_A5,7,31.0,0.061394380853277836,296.0,0.8333333333333334,0.15878378378378377,3.0,5.0
0.3797722705961152,0.22259136212624583,0.22635135135135134,0.22445561139028475,0.010334014892578125,0.13100576400756836,SKAB_Fold2,Gaussian_Noise,Automata_W3_A6,7,40.0,0.05125,475.0,0.78125,0.26105263157894737,3.0,6.0
0.6078782452999105,0.3830734966592428,0.5165165165165165,0.4398976982097187,0.009336471557617188,0.011974096298217773,SKAB_Fold2,Gaussian_Noise,Automata_W4_A3,7,34.0,0.050173010380622836,22.0,0.0,0.0,4.0,3.0
0.6454789615040286,0.37549407114624506,0.2852852852852853,0.3242320819112628,0.009100914001464844,0.07470583915710449,SKAB_Fold2,Gaussian_Noise,Automata_W4_A4,7,52.0,0.03550295857988166,97.0,0.9285714285714286,0.25773195876288657,4.0,4.0
0.5863921217547001,0.3333333333333333,0.38738738738738737,0.35833333333333334,0.009284019470214844,0.23302888870239258,SKAB_Fold2,Gaussian_Noise,Automata_W4_A5,7,59.0,0.030163746049985635,250.0,0.8714285714285714,0.32,4.0,5.0
0.603401969561325,0.40863787375415284,0.7387387387387387,0.5262032085561498,0.009436368942260742,0.5997555255889893,SKAB_Fold2,Gaussian_Noise,Automata_W4_A6,7,81.0,0.022252705380277397,481.0,0.8934010152284264,0.40124740124740127,4.0,6.0
0.7359550561797753,0.6424418604651163,0.6636636636636637,0.6528803545051699,0.008839607238769531,0.1047658920288086,SKAB_Fold2,Gaussian_Noise,Automata_W5_A3,7,48.0,0.029513888888888888,143.0,1.0,0.5944055944055944,5.0,3.0
